index , Longitude, Latitude,hour,DBSCAN,HAC,K-Means,Satellite Number
43,240.9786498,-1.080750566,12,0,3,0,13643
44,154.7886663,14.69057215,12,0,0,1,22248
45,177.3411541,2.272599433,16,0,0,1,39729
46,250.7687208,0.578430923,13,0,3,0,25949
47,200.6559544,13.91191798,7,0,3,1,11684
48,196.7331099,12.6140112,9,0,3,1,23775
49,171.9663018,0.085325138,14,0,0,1,28924
50,249.1152633,8.181202501,7,0,3,0,28218
51,242.8601488,0.079912186,15,0,3,0,22175
52,202.2711493,6.365914332,13,0,3,1,25049
53,154.0237515,0.010481539,11,0,0,1,41471
54,243.0528006,0.056268891,10,0,3,0,41589
55,180.5607293,8.704128217,7,0,0,1,7229
56,207.8848716,1.023440104,15,0,3,1,40896
57,229.6026239,0.065322331,13,0,3,0,3291
58,152.9309574,-7.791168985,6,0,0,1,18350
59,157.7520224,1.232687719,15,0,0,1,30323
60,247.8256236,-3.110739119,12,0,3,0,15574
61,247.7576556,11.99010171,7,0,3,0,20706
62,183.0398189,0.026038087,15,0,0,1,33749
63,191.5198614,10.2580855,7,0,0,1,13083
64,183.0774109,-0.015755611,4,0,0,1,33749
65,230.7613697,-0.40094381,5,0,3,0,40278
66,159.756479,-0.090427562,8,0,0,1,15642
67,241.2618869,-0.015471441,16,0,3,0,31102
68,247.050462,8.600542814,7,0,3,0,28240
69,176.8862359,-0.219535464,10,0,0,1,37737
